"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"210",0.679,0.645,9,-7.107,0,0.0513,0.0897,0,0.121,0.349,119.934,"audio_features","3AqSBtredpPyT18rEYl1vK","spotify:track:3AqSBtredpPyT18rEYl1vK","https://api.spotify.com/v1/tracks/3AqSBtredpPyT18rEYl1vK","https://api.spotify.com/v1/audio-analysis/3AqSBtredpPyT18rEYl1vK",133673,4,"KR"
"211",0.561,0.735,0,-6.344,1,0.0638,0.0181,8.54e-06,0.0571,0.27,148.025,"audio_features","5lw1xIqEvmVdmnNzmv1KJf","spotify:track:5lw1xIqEvmVdmnNzmv1KJf","https://api.spotify.com/v1/tracks/5lw1xIqEvmVdmnNzmv1KJf","https://api.spotify.com/v1/audio-analysis/5lw1xIqEvmVdmnNzmv1KJf",292079,4,"KR"
"212",0.31,0.416,5,-10.429,1,0.0346,0.0755,3.34e-05,0.18,0.207,129.925,"audio_features","4xAt9CoV83PT6U9JvcauLZ","spotify:track:4xAt9CoV83PT6U9JvcauLZ","https://api.spotify.com/v1/tracks/4xAt9CoV83PT6U9JvcauLZ","https://api.spotify.com/v1/audio-analysis/4xAt9CoV83PT6U9JvcauLZ",140199,4,"KR"
"213",0.478,0.574,1,-8.886,1,0.0606,0.00036,0.00719,0.157,0.187,71.984,"audio_features","5ErGQcHEA8ws2rVp3Xx06Z","spotify:track:5ErGQcHEA8ws2rVp3Xx06Z","https://api.spotify.com/v1/tracks/5ErGQcHEA8ws2rVp3Xx06Z","https://api.spotify.com/v1/audio-analysis/5ErGQcHEA8ws2rVp3Xx06Z",219809,4,"KR"
"214",0.89,0.513,1,-5.996,1,0.154,0.0706,0,0.102,0.61,136.02,"audio_features","6woeVu3fVMflqen1t4N6pg","spotify:track:6woeVu3fVMflqen1t4N6pg","https://api.spotify.com/v1/tracks/6woeVu3fVMflqen1t4N6pg","https://api.spotify.com/v1/audio-analysis/6woeVu3fVMflqen1t4N6pg",114133,4,"KR"
"215",0.511,0.85,11,-3.562,0,0.195,0.0237,0,0.0615,0.326,90.047,"audio_features","4L3HQD7tbXCPpO9Ps7rgdm","spotify:track:4L3HQD7tbXCPpO9Ps7rgdm","https://api.spotify.com/v1/tracks/4L3HQD7tbXCPpO9Ps7rgdm","https://api.spotify.com/v1/audio-analysis/4L3HQD7tbXCPpO9Ps7rgdm",277970,4,"KR"
"216",0.536,0.652,1,-7.452,0,0.102,0.0835,0,0.384,0.421,82.238,"audio_features","7AyaV1Ga66yguStIr20zsO","spotify:track:7AyaV1Ga66yguStIr20zsO","https://api.spotify.com/v1/tracks/7AyaV1Ga66yguStIr20zsO","https://api.spotify.com/v1/audio-analysis/7AyaV1Ga66yguStIr20zsO",244859,4,"KR"
"217",0.827,0.817,2,-4.081,1,0.0953,0.00496,1.19e-05,0.294,0.167,97.008,"audio_features","2y6Ty2NPAsP84XJAtzLxuk","spotify:track:2y6Ty2NPAsP84XJAtzLxuk","https://api.spotify.com/v1/tracks/2y6Ty2NPAsP84XJAtzLxuk","https://api.spotify.com/v1/audio-analysis/2y6Ty2NPAsP84XJAtzLxuk",235497,4,"KR"
"218",0.696,0.778,1,-4.653,0,0.0585,0.352,0,0.329,0.41,94.996,"audio_features","27zrFrtUtWl2urlvjOn5xc","spotify:track:27zrFrtUtWl2urlvjOn5xc","https://api.spotify.com/v1/tracks/27zrFrtUtWl2urlvjOn5xc","https://api.spotify.com/v1/audio-analysis/27zrFrtUtWl2urlvjOn5xc",218897,4,"KR"
"219",0.849,0.486,1,-7.049,1,0.0669,0.538,0,0.127,0.546,92.022,"audio_features","4MidkNeonif4PcWSjkwOb7","spotify:track:4MidkNeonif4PcWSjkwOb7","https://api.spotify.com/v1/tracks/4MidkNeonif4PcWSjkwOb7","https://api.spotify.com/v1/audio-analysis/4MidkNeonif4PcWSjkwOb7",231654,4,"KR"
