"","href","id","name","type","uri","external_urls.spotify","followers.href","genre","Metric","Value"
"48","https://api.spotify.com/v1/artists/5Nt1n4t51CBXkH195ZXQqn","5Nt1n4t51CBXkH195ZXQqn","Sammad","artist","spotify:artist:5Nt1n4t51CBXkH195ZXQqn","https://open.spotify.com/artist/5Nt1n4t51CBXkH195ZXQqn",NA,"Indian-rap","Followers (in Thousands)",4.045
"49","https://api.spotify.com/v1/artists/2dd5mrQZvg6SmahdgVKDzh","2dd5mrQZvg6SmahdgVKDzh","PSY","artist","spotify:artist:2dd5mrQZvg6SmahdgVKDzh","https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh",NA,"K-rap","Popularity",73
"50","https://api.spotify.com/v1/artists/2dd5mrQZvg6SmahdgVKDzh","2dd5mrQZvg6SmahdgVKDzh","PSY","artist","spotify:artist:2dd5mrQZvg6SmahdgVKDzh","https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh",NA,"K-rap","Followers (in Thousands)",1299.144
"51","https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI","4XDi67ZENZcbfKnvMnTYsI","Jay Park","artist","spotify:artist:4XDi67ZENZcbfKnvMnTYsI","https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI",NA,"K-rap","Popularity",73
"52","https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI","4XDi67ZENZcbfKnvMnTYsI","Jay Park","artist","spotify:artist:4XDi67ZENZcbfKnvMnTYsI","https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI",NA,"K-rap","Followers (in Thousands)",1713.938
"53","https://api.spotify.com/v1/artists/5RmQ8k4l3HZ8JoPb4mNsML","5RmQ8k4l3HZ8JoPb4mNsML","Agust D","artist","spotify:artist:5RmQ8k4l3HZ8JoPb4mNsML","https://open.spotify.com/artist/5RmQ8k4l3HZ8JoPb4mNsML",NA,"K-rap","Popularity",72
"54","https://api.spotify.com/v1/artists/5RmQ8k4l3HZ8JoPb4mNsML","5RmQ8k4l3HZ8JoPb4mNsML","Agust D","artist","spotify:artist:5RmQ8k4l3HZ8JoPb4mNsML","https://open.spotify.com/artist/5RmQ8k4l3HZ8JoPb4mNsML",NA,"K-rap","Followers (in Thousands)",8417.945
"55","https://api.spotify.com/v1/artists/2auC28zjQyVTsiZKNgPRGs","2auC28zjQyVTsiZKNgPRGs","RM","artist","spotify:artist:2auC28zjQyVTsiZKNgPRGs","https://open.spotify.com/artist/2auC28zjQyVTsiZKNgPRGs",NA,"K-rap","Popularity",70
"56","https://api.spotify.com/v1/artists/2auC28zjQyVTsiZKNgPRGs","2auC28zjQyVTsiZKNgPRGs","RM","artist","spotify:artist:2auC28zjQyVTsiZKNgPRGs","https://open.spotify.com/artist/2auC28zjQyVTsiZKNgPRGs",NA,"K-rap","Followers (in Thousands)",9404.916
"57","https://api.spotify.com/v1/artists/0b1sIQumIAsNbqAoIClSpy","0b1sIQumIAsNbqAoIClSpy","j-hope","artist","spotify:artist:0b1sIQumIAsNbqAoIClSpy","https://open.spotify.com/artist/0b1sIQumIAsNbqAoIClSpy",NA,"K-rap","Popularity",67
"58","https://api.spotify.com/v1/artists/0b1sIQumIAsNbqAoIClSpy","0b1sIQumIAsNbqAoIClSpy","j-hope","artist","spotify:artist:0b1sIQumIAsNbqAoIClSpy","https://open.spotify.com/artist/0b1sIQumIAsNbqAoIClSpy",NA,"K-rap","Followers (in Thousands)",9944.922
"59","https://api.spotify.com/v1/artists/2e4G04F77jxVuDYo44TCSm","2e4G04F77jxVuDYo44TCSm","Loco","artist","spotify:artist:2e4G04F77jxVuDYo44TCSm","https://open.spotify.com/artist/2e4G04F77jxVuDYo44TCSm",NA,"K-rap","Popularity",66
"60","https://api.spotify.com/v1/artists/2e4G04F77jxVuDYo44TCSm","2e4G04F77jxVuDYo44TCSm","Loco","artist","spotify:artist:2e4G04F77jxVuDYo44TCSm","https://open.spotify.com/artist/2e4G04F77jxVuDYo44TCSm",NA,"K-rap","Followers (in Thousands)",313.601
"61","https://api.spotify.com/v1/artists/30b9WulBM8sFuBo17nNq9c","30b9WulBM8sFuBo17nNq9c","G-DRAGON","artist","spotify:artist:30b9WulBM8sFuBo17nNq9c","https://open.spotify.com/artist/30b9WulBM8sFuBo17nNq9c",NA,"K-rap","Popularity",66
